condition,qid,qkind,candidates,nodes,edges,recall,ceiling,seconds
"seed expansion, cap=2000",analyte-0,analyte,2000,11,10,0.0004154549231408392,0.7918570835064396,0.02371579999453388
"seed expansion, cap=2000",analyte-1,analyte,2000,11,10,0.0008,0.8424,0.02351030000136234
"seed expansion, cap=2000",analyte-2,analyte,2000,11,10,0.0011123470522803114,0.7808676307007787,0.023534899984952062
"seed expansion, cap=2000",analyte-3,analyte,2000,11,10,0.0013812154696132596,0.7279005524861878,0.023467599996365607
"seed expansion, cap=2000",analyte-4,analyte,2000,11,10,0.0016181229773462784,0.6812297734627831,0.02270729999872856
"seed expansion, cap=2000",drug-0,drug,2000,11,10,0.01669449081803005,1.0,0.0218548999982886
"seed expansion, cap=2000",drug-1,drug,2000,11,10,0.0423728813559322,1.0,0.021651199989719316
"seed expansion, cap=2000",drug-2,drug,2000,11,10,0.06097560975609756,1.0,0.023288199998205528
"seed expansion, cap=2000",drug-3,drug,2000,11,10,0.078125,1.0,0.02272770000854507
"seed expansion, cap=2000",drug-4,drug,2000,11,10,0.09345794392523364,1.0,0.022814799973275512
"seed expansion, cap=2000",dx-named-0,dx-named,2000,11,10,1.0,1.0,0.024275199975818396
"seed expansion, cap=2000",dx-named-1,dx-named,2000,11,10,1.0,1.0,0.02710139998816885
"seed expansion, cap=2000",dx-codeonly-0,dx-codeonly,2000,11,10,0.0,0.0,0.02674309999565594
"seed expansion, cap=2000",dx-codeonly-1,dx-codeonly,2000,11,10,0.0,0.0,0.026260400016326457
"seed expansion, cap=5000",analyte-0,analyte,5000,11,10,0.0004154549231408392,0.9181553801412546,0.037374100007582456
"seed expansion, cap=5000",analyte-1,analyte,5000,11,10,0.0008,0.8424,0.03306680000969209
"seed expansion, cap=5000",analyte-2,analyte,5000,11,10,0.0011123470522803114,0.7808676307007787,0.03336860000854358
"seed expansion, cap=5000",analyte-3,analyte,5000,11,10,0.0013812154696132596,0.7279005524861878,0.041507799993269145
"seed expansion, cap=5000",analyte-4,analyte,5000,11,10,0.0016181229773462784,0.6812297734627831,0.03391999998711981
"seed expansion, cap=5000",drug-0,drug,5000,11,10,0.01669449081803005,1.0,0.04160910000791773
"seed expansion, cap=5000",drug-1,drug,5000,11,10,0.0423728813559322,1.0,0.04498490001424216
"seed expansion, cap=5000",drug-2,drug,5000,11,10,0.06097560975609756,1.0,0.03896309999981895
"seed expansion, cap=5000",drug-3,drug,5000,11,10,0.078125,1.0,0.04075720001128502
"seed expansion, cap=5000",drug-4,drug,5000,11,10,0.09345794392523364,1.0,0.042343499982962385
"seed expansion, cap=5000",dx-named-0,dx-named,5000,11,10,1.0,1.0,0.048367799987317994
"seed expansion, cap=5000",dx-named-1,dx-named,5000,11,10,1.0,1.0,0.04017089999979362
"seed expansion, cap=5000",dx-codeonly-0,dx-codeonly,5000,11,10,0.0,0.0,0.04303480000817217
"seed expansion, cap=5000",dx-codeonly-1,dx-codeonly,5000,11,10,0.0,0.0,0.04699929998605512
